date,pos,neg
2020-05-23,1.0,1.0
2020-05-25,0.0,3.0
2020-05-26,0.0,3.0
2020-05-27,0.0,3.0
2020-05-28,0.0,3.0
2020-05-29,0.0,3.0
2020-06-01,0.0,3.0
2020-06-02,0.0,3.0
2020-06-03,0.0,3.0
2020-06-04,2.0,0.0
2020-06-05,2.0,0.0
2020-06-07,2.0,0.0
2020-06-08,0.0,0.0
2020-06-09,0.0,0.0
2020-06-10,0.0,1.0
2020-06-11,0.0,1.0
2020-06-12,0.0,1.0
2020-06-15,0.0,1.0
2020-06-16,0.854920527561718,0.4580656070341562
2020-06-17,0.854920527561718,0.4580656070341562
2020-06-18,0.854920527561718,0.4580656070341562
2020-06-19,0.854920527561718,0.4580656070341562
2020-06-20,0.0,0.0
2020-06-21,0.41479671184181294,0.674516774050211
2020-06-22,1.0,3.0
2020-06-23,0.0,0.5608551154226175
2020-06-24,0.0,0.0
2020-06-25,0.0,0.1841224294595887
2020-06-27,0.4227400920290931,1.0274602938993618
2020-06-29,2.4690084104883736,0.24086507880415578
2020-06-30,0.2814422057264051,0.7199363732767763
2020-07-01,0.7057433723637122,0.9200861679580279
2020-07-02,0.7057433723637122,0.9200861679580279
2020-07-03,0.9151924683015716,1.2683926808898338
2020-07-04,0.0,1.0
2020-07-06,0.0,0.5847674521224958
2020-07-07,0.0,0.0
2020-07-08,0.0,0.0
2020-07-09,0.0,0.0
2020-07-10,0.5142543859649122,0.0
2020-07-11,0.5142543859649122,0.0
2020-07-13,0.0,0.0
2020-07-14,0.0,1.0
2020-07-15,0.0,1.0
2020-07-16,0.0,1.0
2020-07-17,0.0,1.0
2020-07-20,-1.0,0.0
2020-07-21,6.0,1.0
2020-07-22,0.0,1.0
2020-07-23,0.0,-4.0
2020-07-24,0.0,-4.0
2020-07-26,0.0,2.0
2020-07-27,0.6576665840971018,0.6711667079514491
2020-07-28,0.6576665840971018,0.6711667079514491
2020-07-29,0.6576665840971018,0.6711667079514491
2020-07-30,0.6576665840971018,0.6711667079514491
2020-07-31,0.6576665840971018,0.6711667079514491
2020-08-02,0.6576665840971018,0.6711667079514491
2020-08-03,1.1445681511470984,0.3991228070175439
2020-08-04,1.1445681511470984,0.3991228070175439
2020-08-05,1.1445681511470984,0.3991228070175439
2020-08-06,0.0,1.0
2020-08-07,0.0,1.0
2020-08-10,0.0,1.0
2020-08-11,0.0,1.0
2020-08-12,0.0,1.0
2020-08-13,0.0,0.0
2020-08-14,0.2706630336058129,1.270663033605813
2020-08-15,1.0,1.0
2020-08-16,0.46448305326117917,20.74309313585873
2020-08-17,0.0,2.5571561338289963
2020-08-18,0.0,2.0
2020-08-19,0.0,1.0
2020-08-20,1.0,0.0
2020-08-21,1.0,0.0
2020-08-24,1.0,0.0
2020-08-25,3.0,2.0
2020-08-26,0.0,1.196586916513301
2020-08-27,0.0,1.196586916513301
2020-08-28,0.0,1.196586916513301
2020-08-31,0.0,1.0
2020-09-01,0.0,1.0
2020-09-02,0.0,1.0
2020-09-03,0.0,2.0
2020-09-04,0.0,2.0
2020-09-05,0.0,2.0
2020-09-07,0.0,0.0
2020-09-08,0.0,0.0
2020-09-09,1.0,1.0
2020-09-10,1.0,0.0
2020-09-11,1.0,0.0
2020-09-14,1.0,0.0
2020-09-15,1.0,1.0
2020-09-16,1.0,1.0
2020-09-17,1.0,1.0
2020-09-18,0.0,2.0
2020-09-19,1.0,1.0
2020-09-21,0.0,0.0
2020-09-22,0.0,0.0
2020-09-23,2.0,0.0
2020-09-24,0.0,5.0
2020-09-25,1.0,0.0
2020-09-27,1.0,0.0
2020-09-28,0.0,0.0
2020-09-29,0.0,0.0
2020-09-30,0.0,0.0
2020-10-03,3.0,0.0
2020-10-09,0.0,1.0
2020-10-12,0.0,0.0
2020-10-13,0.0,0.0
2020-10-14,0.7953370002462852,0.3321566373860931
2020-10-15,1.1300663871418588,0.6131201956673655
2020-10-16,1.0,1.0
2020-10-17,1.0,1.0
2020-10-19,1.0,2.0
2020-10-20,1.5532191466585106,0.0
2020-10-21,0.0,0.0
2020-10-22,0.0,0.0
2020-10-23,0.0,0.0
2020-10-24,0.0,0.0
2020-10-26,2.0,0.0
2020-10-27,0.0,3.0
2020-10-28,0.0,3.0
2020-10-29,0.0,3.0
2020-10-30,0.0,3.0
2020-10-31,0.0,3.0
2020-11-02,0.0,0.0
2020-11-03,0.0,0.0
2020-11-04,0.0,0.0
2020-11-05,2.0,0.0
2020-11-06,2.0,0.0
2020-11-07,2.0,0.0
2020-11-09,0.0,2.0
2020-11-10,0.0,2.0
2020-11-11,0.0,2.0
2020-11-12,0.0,2.617261376103652
2020-11-13,0.0,1.9494584837545126
2020-11-16,0.5200664925195916,3.8394680598432678
2020-11-17,0.5200664925195916,3.8394680598432678
2020-11-18,1.0,0.0
2020-11-19,1.0,0.0
2020-11-20,0.0,2.0
2020-11-23,0.0,2.0
2020-11-24,0.0,2.0
2020-11-25,1.0,1.0
2020-11-26,1.0,1.0
2020-11-27,0.0951262235960845,0.6838330757341576
2020-11-30,0.0951262235960845,0.6838330757341576
2020-12-01,0.0,0.0
2020-12-02,0.7393962848297214,1.4787925696594428
2020-12-03,0.7393962848297214,1.4787925696594428
2020-12-04,0.7393962848297214,1.4787925696594428
2020-12-07,0.7393962848297214,1.4787925696594428
2020-12-08,0.7393962848297214,1.4787925696594428
2020-12-09,0.7393962848297214,1.4787925696594428
2020-12-10,0.7393962848297214,1.4787925696594428
2020-12-11,0.7393962848297214,1.4787925696594428
2020-12-12,0.9906549395319617,0.6909847651955395
2020-12-13,0.0,2.0
2020-12-14,1.0,0.23577020034496485
2020-12-15,1.0,0.23577020034496485
2020-12-16,0.3078505313678437,0.22382203938597495
2020-12-17,0.3078505313678437,0.22382203938597495
2020-12-18,-0.044809055271424494,0.40447571328435317
2020-12-19,0.0,1.0
2020-12-21,0.0,1.2633191787418465
2020-12-22,0.0,1.2633191787418465
2020-12-23,1.0,0.0
2020-12-24,1.0,0.0
2020-12-25,1.0,0.0
2020-12-26,0.2950254763938385,0.590050952787677
2020-12-28,0.0,1.0
2020-12-29,0.0,1.0
2020-12-30,6.67276119402985,0.5171641791044777
2020-12-31,0.0,0.0
2021-01-04,1.0,1.0
2021-01-05,1.0,1.0
2021-01-06,1.0,1.0
2021-01-07,1.0,1.0
2021-01-08,1.0,1.0
2021-01-10,1.0,1.0
2021-01-11,0.0,1.0
2021-01-12,0.0,1.0
2021-01-13,0.0,1.0
2021-01-14,0.0,1.0
2021-01-15,1.4370456727472225,0.0
2021-01-16,0.0,5.0
2021-01-18,0.0,0.0
2021-01-19,0.0,0.0
2021-01-20,0.0,0.0
2021-01-21,3.8044637843907916,1.0
2021-01-22,0.0,0.0
2021-01-25,0.0,0.0
2021-01-26,1.0,1.0
2021-01-27,1.0,1.0
2021-01-28,6.0,7.0
2021-01-29,6.0,7.0
2021-01-30,6.0,7.0
2021-01-31,3.0,0.0
2021-02-01,1.0,0.0
2021-02-02,0.0,0.0
2021-02-03,0.0,0.0
2021-02-04,0.0,1.0
2021-02-05,0.0,1.0
2021-02-06,0.0,1.0
2021-02-08,0.415779437470205,0.83155887494041
2021-02-09,0.415779437470205,0.83155887494041
2021-02-10,0.415779437470205,0.83155887494041
2021-02-18,0.0,0.7561368468526513
2021-02-19,0.0,0.7561368468526513
2021-02-20,0.0,0.7561368468526513
2021-02-21,1.0,1.0
2021-02-22,1.0,0.0
2021-02-23,0.0,0.0
2021-02-24,0.0,0.0
2021-02-25,0.0,0.0
2021-02-26,7.0,1.0
2021-02-27,7.0,1.0
2021-03-01,0.0,0.0
2021-03-02,0.0,0.0
2021-03-03,0.4909193457416808,0.22662154540327129
2021-03-04,0.0,1.0
2021-03-05,0.0,1.0
2021-03-06,0.0,1.0
2021-03-07,1.5062881517981908,0.0
2021-03-08,1.0,0.0
2021-03-09,1.0,6.0
2021-03-10,0.0,0.9418150039096638
2021-03-11,0.0,6.0
2021-03-12,0.0,6.0
2021-03-13,0.0,6.0
2021-03-14,1.0,4.0
2021-03-15,1.0,1.0
2021-03-16,3.0,1.0
2021-03-17,3.0,1.0
2021-03-18,3.0,1.0
2021-03-19,3.0,1.0
2021-03-22,3.802375296912114,-0.0494061757719715
2021-03-23,3.802375296912114,-0.0494061757719715
2021-03-24,3.0,0.0
2021-03-25,3.0,0.0
2021-03-26,3.0,0.0
2021-03-27,6.0,0.0
2021-03-29,0.0,2.0
2021-03-30,0.0,2.0
2021-03-31,0.0,0.0
2021-04-01,0.0,0.0
2021-04-02,0.0,0.0
2021-04-03,0.0,0.0
2021-04-06,0.0,0.0
2021-04-07,0.0,0.0
2021-04-08,0.0,0.0
2021-04-09,0.0,0.0
2021-04-12,0.0,0.0
2021-04-13,0.0,0.0
2021-04-14,0.6383831171407037,0.3134198103851799
2021-04-15,0.0,0.0
2021-04-16,0.0,0.0
2021-04-17,0.0,0.0
2021-04-18,0.7839442965390129,0.39197214826950644
2021-04-19,1.0,-0.07278020378457059
2021-04-20,0.3308368168447128,0.20767533673943334
2021-04-21,2.461412487205732,0.769293756397134
2021-04-22,0.17058344300307074,0.3127780911198847
2021-04-23,0.0,64.0
2021-04-25,3.5134246575342467,0.0
2021-04-26,0.2638645650904845,0.13193228254524225
2021-04-27,0.0,0.0
2021-04-28,0.0,0.0
2021-04-29,0.0,0.0
2021-04-30,0.0,2.0
2021-05-01,2.721990226565971,1.0
2021-05-02,1.0,2.0
2021-05-03,0.0,0.0
2021-05-04,0.0,0.0
2021-05-05,2.0,1.0
2021-05-06,1.0,0.0
2021-05-07,0.0,0.0
2021-05-08,0.3211600975213328,1.0914770418529054
2021-05-10,1.0,1.0
2021-05-11,0.0,0.3609053080280118
2021-05-12,0.0,0.3609053080280118
2021-05-13,0.13822809593734703,0.801762114537445
2021-05-14,1.0,2.0
2021-05-16,1.0,1.0
2021-05-17,0.0,0.0
2021-05-18,0.6265535372848948,0.6265535372848948
2021-05-19,0.0,6.0
2021-05-20,0.0,0.5167680173399963
2021-05-21,0.9181701030927835,1.1085235640648012
2021-05-22,0.0,0.0
2021-05-23,3.933642238751372,3.644531154737227
